absinthe;repousse;limace;0
absinthe;repousse;altise du colza;0
achillee millefeuille;favorise;framboisier;9
achillee millefeuille;favorise;romarin;3
achillee millefeuille;favorise;mais;1
achillee millefeuille;defavorise;rue fetide;0
agrume;favorise;lavande;3
agrume;favorise;tanaisie commune;4
agrume;favorise;absinthe;1
agrume;favorise;oeillet d'inde;8
agrume;favorise;rosier d'inde;7
ail;favorise;pecher;1
ail;favorise;pommier;10
ail;favorise;poirier commun;4
ail;favorise;prunier;7
ail;favorise;chicoree;10
ail;favorise;pissenlit;6
ail;favorise;topinambour;7
ail;favorise;tomate;2
ail;favorise;fraisier des bois;9
ail;favorise;framboisier;9
ail;favorise;rosier;1
ail;defavorise;chou;0
ail;defavorise;pomme de terre;0
ail;defavorise;haricot;0
ail;defavorise;pois;0
ail;defavorise;souci;0
ail;defavorise;artichaut;0
ail;defavorise;asperge;0
ail;repousse;campagnol;0
altise du colza;defavorise;chou;0
altise du colza;defavorise;chou-fleur;0
altise du colza;defavorise;chou-rave;0
altise du colza;defavorise;chou rouge;0
altise du colza;defavorise;radis;0
altise du colza;defavorise;navet;0
altise du colza;defavorise;moutarde;0
amarante;attire;carabe;0
amarante;defavorise;mache;0
aneth;favorise;chou;7
aneth;favorise;concombre;6
aneth;favorise;cornichon;8
aneth;favorise;bette;5
aneth;favorise;laitue;6
aneth;favorise;oignon;8
aneth;defavorise;carotte;0
aneth;repousse;puceron;0
angelique;attire;chrysope verte;0
angelique;attire;coccinelle;0
angelique;defavorise;aneth;0
angelique;defavorise;celeri;0
angelique;defavorise;betterave;0
anis;favorise;coriandre;4
anis;defavorise;absinthe;0
araignee;repousse;puceron;0
artichaut;favorise;chou;7
artichaut;favorise;laitue;6
artichaut;favorise;epinard;8
artichaut;favorise;persil;6
artichaut;favorise;capucine;7
artichaut;favorise;poireau;1
artichaut;defavorise;ail;0
artichaut;attire;bourdon;0
asperge;favorise;pomme de terre;4
asperge;favorise;concombre;6
asperge;favorise;persil;6
asperge;favorise;tomate;2
asperge;favorise;cornichon;8
asperge;favorise;poireau;1
asperge;favorise;pois;3
asperge;favorise;courge;1
asperge;favorise;basilic;10
asperge;favorise;rosier d'inde;7
asperge;favorise;capucine;7
asperge;defavorise;menthe;0
asperge;defavorise;betterave;0
asperge;defavorise;bette;0
asperge;defavorise;chicoree;0
asperge;defavorise;oignon;0
asperge;defavorise;ail;0
asperge;defavorise;ciboulette;0
aubergine;favorise;haricot;3
aubergine;defavorise;pomme de terre;0
baguenaudier;defavorise;pommier;0
basilic;favorise;tomate;2
basilic;favorise;piment;7
basilic;favorise;concombre;6
basilic;favorise;cornichon;8
basilic;favorise;courge;1
basilic;favorise;melon;6
basilic;favorise;chou;7
basilic;favorise;feve;5
basilic;favorise;courgette;3
basilic;favorise;fenouil;3
basilic;favorise;asperge;10
basilic;defavorise;rue fetide;0
basilic;defavorise;absinthe;0
basilic;repousse;nematode;0
basilic;repousse;puceron;0
betterave;favorise;laitue;6
betterave;favorise;carotte;6
betterave;favorise;oignon;8
betterave;favorise;chou;7
betterave;favorise;celeri;2
betterave;favorise;coriandre;4
betterave;favorise;panais;5
betterave;defavorise;tomate;0
betterave;defavorise;angelique;0
betterave;defavorise;asperge;0
betterave;defavorise;epinard;0
betterave;defavorise;poireau;0
betterave;defavorise;haricot;0
betterave;defavorise;mais;0
bourrache officinale;attire;syrphide;0
bourrache officinale;attire;bourdon;0
bourrache officinale;repousse;limace;0
bourrache officinale;favorise;fraisier des bois;9
bourrache officinale;favorise;haricot;3
buis;repousse;campagnol;0
camomille allemande;attire;coccinelle;0
camomille allemande;repousse;nematode;0
camomille allemande;favorise;chou;7
camomille allemande;favorise;oignon;8
camomille allemande;favorise;pois;3
camomille allemande;favorise;pomme de terre;4
camomille allemande;defavorise;rue fetide;0
camomille allemande;repousse;puceron;0
campagnol;defavorise;carotte;0
campagnol;defavorise;panais;0
capucine;repousse;puceron;0
carabe;repousse;limace;0
carotte;favorise;poireau;1
carotte;favorise;ail;4
carotte;favorise;oignon;8
carotte;favorise;echalote;9
carotte;favorise;ciboulette;2
carotte;favorise;betterave;7
carotte;favorise;pois;3
carotte;favorise;radis;5
carotte;favorise;laitue;6
carotte;favorise;roquette;10
carotte;favorise;panais;5
carotte;favorise;tomate;2
carotte;favorise;haricot;3
carotte;favorise;piment;7
carotte;favorise;lin;2
carotte;favorise;romarin;3
carotte;favorise;sauge;8
carotte;favorise;absinthe;1
carotte;favorise;coriandre;4
carotte;defavorise;aneth;0
carotte;defavorise;mais;0
carotte;defavorise;bette;0
carotte;attire;carabe;0
carotte;defavorise;carotte sauvage;0
carotte;repousse;thrips de l'oignon;0
carotte;repousse;teigne du poireau;0
carotte sauvage;favorise;chou;7
carotte sauvage;defavorise;carotte;0
cassis;favorise;ciboulette;2
cassis;favorise;absinthe;1
cassis;favorise;tanaisie commune;4
cassis;favorise;carotte;6
cassis;favorise;oignon;8
cassis;favorise;navet;7
cassis;defavorise;mais;0
celeri;favorise;chou;7
celeri;favorise;poireau;1
celeri;favorise;fenouil;3
celeri;favorise;tomate;2
celeri;favorise;haricot;3
celeri;favorise;pois;3
celeri;favorise;concombre;6
celeri;favorise;cornichon;8
celeri;favorise;bette;5
celeri;favorise;betterave;7
celeri;favorise;courgette;3
celeri;favorise;courge;1
celeri;favorise;potiron;10
celeri;defavorise;mais;0
celeri;defavorise;persil;0
celeri;defavorise;laitue;0
celeri;defavorise;angelique;0
cerfeuil commun;favorise;radis;5
cerfeuil commun;favorise;laitue;6
cerfeuil commun;favorise;chou;7
cerfeuil commun;favorise;chicoree;10
cerfeuil commun;repousse;fourmi;0
cerfeuil commun;repousse;limace;0
cerfeuil commun;repousse;escargot;0
cerfeuil commun;repousse;puceron;0
cerisier;favorise;raifort;1
cerisier;favorise;rue fetide;4
chanvre;repousse;courtiliere;0
chicoree;favorise;epinard;8
chicoree;favorise;roquette;10
chicoree;favorise;souci;2
chicoree;defavorise;chou;0
chicoree;defavorise;asperge;0
chicoree;defavorise;navet;0
chicoree;repousse;campagnol;0
chou;defavorise;fraisier des bois;0
chou;defavorise;poireau;0
chou;defavorise;radis;0
chou;defavorise;mais;0
chou;defavorise;mache;0
chou;defavorise;fenouil;0
chou;defavorise;cresson;0
chou;defavorise;courgette;0
chou;defavorise;origan;0
chou;defavorise;piment;0
chou;favorise;aneth;2
chou;favorise;celeri;2
chou;favorise;haricot;3
chou;favorise;moutarde;2
chou;favorise;romarin;3
chou;favorise;tomate;2
